	ID	Semestr	Department	Sub-Department 	Subject	Grade	Learning Source	Evaluation	Susb-continent	Country
0	1	2	Engineering	Computer Enginnering	Advanced Web Tech	1,3	Online	Good	Asia	Pakistan
1	1	2	Engineering	Computer Enginnering	Distributed System	2,3	Vedio, Lecture	Good	Asia	Pakistan
2	2	4	Engineering	Information Enginnering	Information Enginnering	3	Lecture	Good	Asia	Iran
3	2	4	Engineering	Information Enginnering	Logic	2,3	Lecture	Good	Asia	Iran
4	2	4	Engineering	Information Enginnering	IOT	4	Lecture	Bad	Asia	Iran
5	3	4	Engineering	Computer Enginnering	IOT	3,3	Lecture	Good	Asia	Iran
6	3	4	Engineering	Computer Enginnering	Peer To Peer 	3,3	Lecture	Good	Asia	Iran
7	3	4	Engineering	Computer Enginnering	Web Technology	1,7	Lecture	Good	Asia	Iran
8	4	2	Engineering	Computer Enginnering	Intractive system 	3,7	Lecture	Good	Asia	Iran
9	5	4	Engineering	Informatic	Social Design Technic	1,7	Lecture	Good	Asia	Iran
10	5	4	Engineering	Informatic	Industry Customer managment	2,3	Lecture	Good	Asia	Iran
11	5	4	Engineering	Informatic	Efficient algorithm	3,3	Lecture	Good	Asia	Iran
12	5	4	Engineering	Informatic	Usability of Information Technology	3,7	Lecture	Average	Asia	Iran
13	6	7	Engineering	Computer Enginnering	Information Enginnering	1,7	Lecture	Good	Asia	Iran
14	7	2	Engineering	ACE	Deutsch	2,7	Lecture	Average	Asia	China
15	8	1	Humanities	Moderne Ostasienstudien	Deutsch	1	Lecture	Good	Europe	Germany
16	9	2	Business	Mercator School of Management	Business Education	1	Lecture	Average	Europe	Germany
17	9	2	Business	Mercator School of Management	Financial Accounting	1,3	Lecture	Average	Europe	Germany
18	10	1	Business	Highschool	Biology	1	Lecture	Good	Europe	Germany
19	11	3	Business	BWL	Personal management, Jahresabschluss, Statistik 1	3,7	Lecture	Good	Asia	Syria
20	11	3	Business	BWL	 Jahresabschluss	2	Lecture	Good	Asia	Syria
21	11	3	Business	BWL	Statistik 1	1,3	Lecture	Good	Asia	Syria
22	12	2	Engineering	Teschniche Logestik	Betbriebsfuerung	1,7	Lecture	Average	Asia	Iran
23	12	2	Engineering	Teschniche Logestik	Produktionstechnik	2,3	Lecture	Good	Asia	Iran
24	13	1	Engineering	Engineering	English	3	Lecture	Average	Asia	China
25	13	1	Engineering	Engineering	Physics	3	Lecture	Average	Asia	China
26	14	3	Engineering	Engineering	Web technology	1,3	Lecture	Good	Europe	Germany
27	14	3	Engineering	Engineering	Digital games	2	Lecture	Average	Europe	Germany
28	14	3	Engineering	Engineering	Personal management	2,3	Lecture	Average	Europe	Germany
29	15	2	Engineering	Engineering	Web Technology	2	Lecture	Good	Europe	Germany
30	15	2	Engineering	Engineering	Personal management	2,3	Lecture	Average	Europe	Germany
31	15	2	Engineering	Engineering	Digital games	2	Lecture	Good	Europe	Germany
32	16	6	Engineering	Computer Enginnering	Information Retrival	1,7	Lecture	Average	Asia	Pakistan
33	16	6	Engineering	Computer Enginnering	Information Enginnering	3	Lecture	Average	Asia	Pakistan
34	16	6	Engineering	Computer Enginnering	Distributed System	2,7	Lecture	Good	Asia	Pakistan
35	16	6	Engineering	Computer Enginnering	Cloud Web and Mobile	3	Lecture	Good	Asia	Pakistan
36	16	6	Engineering	Computer Enginnering	IOT	2,7	Lecture	Good	Asia	Pakistan
37	16	6	Engineering	Computer Enginnering	Advanced Web Tech	1,3	Lecture	Good	Asia	Pakistan
38	16	6	Engineering	Computer Enginnering	Electronics Comm	4	Lecture	Good	Asia	Pakistan
39	16	6	Engineering	Computer Enginnering	Gestalltung	2	Lecture	Good	Asia	Pakistan
40	17	5	Engineering	Computer Enginnering	Information Retrival	3,7	Lecture	Good	Asia	Pakistan
41	17	5	Engineering	Computer Enginnering	Information Enginnering	2,7	Lecture	Good	Asia	Pakistan
42	17	5	Engineering	Computer Enginnering	Distributed System	3,7	Lecture	Good	Asia	Pakistan
43	17	5	Engineering	Computer Enginnering	Cloud Web and Mobile	3,7	Lecture	Good	Asia	Pakistan
44	17	5	Engineering	Computer Enginnering	IOT	3	Lecture	Good	Asia	Pakistan
45	17	5	Engineering	Computer Enginnering	Advanced Web Tech	2	Lecture	Good	Asia	Pakistan
46	17	5	Engineering	Computer Enginnering	Electronics Comm	2	Lecture	Good	Asia	Pakistan
47	17	5	Engineering	Computer Enginnering	Gestalltung	2	Lecture	Good	Asia	Pakistan
48	18	2	Engineering	Computer Enginnering	Advanced Web Tech	1,3	Lecture	Good	Asia	Syria
49	19	3	Engineering	Computer Enginnering	Per to per	1,3	Lecture	Good	Asia	Palestine
50	20	3	Engineering	Computer Enginnering	Electronics Comm	3,7	Lecture	Good	Europe	Germany
51	20	2	Engineering	Computer Enginnering	Intractive system 	1	Lecture	Good	Europe	Germany
52	20	2	Engineering	Computer Enginnering	Gills	1	Lecture	Good	Europe	Germany
53	20	4	Engineering	Psy	Marktpsychologie	1,3	Seminar	Good	Europe	Germany
54	20	3	Engineering	Psy	Organisationpsychologie	1,7	Seminar	Good	Europe	Germany
55	21	1	Engineering	Computer Enginnering	Social network	3	Lecture	Good	Asia	Iran
56	21	1	Engineering	Computer Enginnering	Distributed System	2,7	Lecture	Good	Asia	Iran
57	21	1	Engineering	Computer Enginnering	Cognitive roboter system	2,3	Lecture	Good	Asia	Iran
58	22	2	Engineering	Computer Enginnering	Intractive system 	3	Lecture	Good	Asia	Iran
59	22	2	Engineering	Computer Enginnering	Social network	2,3	Lecture	Good	Asia	Iran
60	22	3	Engineering	Computer Enginnering	Modlierung	3	Lecture	Good	Asia	Iran
61	22	3	Engineering	Computer Enginnering	Distributed System	3,3	Lecture	Good	Asia	Iran
62	23	3	Engineering	Computer Enginnering	Computer robot vision	4	Lecture	Bad	Asia	Iran
63	23	3	Engineering	Computer Enginnering	Project praxis	2	Lecture	Good	Asia	Iran
64	24	4	Medical	Medical	Physics	1,3	Lecture	Good	Europe	Germany
65	24	4	Medical	Medical	Bio medical 	2	Lecture	Good	Europe	Germany
66	24	4	Medical	Medical	Embryology	2,7	Lecture	Good	Europe	Germany
67	24	4	Medical	Medical	Microscopic	2,3	Lecture	Good	Europe	Germany
68	24	4	Medical	Medical	Histology	1,7	Lecture	Good	Europe	Germany
69	25	1	Engineering	Information Enginnering	Information Retrival	2,3	Lecture	Good	Asia	Iran
70	25	2	Engineering	Information Enginnering	Distributed System	3	Lecture	Good	Asia	Iran
71	25	2	Engineering	Information Enginnering	Electronics Comm	3,3	Lecture	Good	Asia	Iran
72	25	2	Engineering	Information Enginnering	Logistische informationssysteme	2,3	Lecture	Good	Asia	Iran
73	26	1	Chemie	Chemie	Biochemie 1	3	Lecture	Average	Europe	Germany
74	26	1	Chemie	Chemie	Biochemie 2	3,3	Lecture	Good	Europe	Germany
75	26	2	Chemie	Chemie	Theoretische chemie	2,3	Lecture	Good	Europe	Germany
76	26	2	Chemie	Chemie	Analytische chemi 1	3,3	Lecture	Good	Europe	Germany
77	27	3	Engineering	Information Enginnering	Electronics Comm	1,3	Lecture	Good	Asia	India
78	27	3	Engineering	Information Enginnering	Distributed System	2	Lecture	Good	Asia	India
79	27	3	Engineering	Information Enginnering	Social Design Technic	2,3	Lecture	Average	Asia	India
80	27	2	Engineering	Information Enginnering	Personal management	3,3	Lecture	Good	Asia	India
81	27	2	Engineering	Information Enginnering	Web Technology	3	Lecture	Good	Asia	India
82	28	3	Engineering	Computer Enginnering	Distributed System	4	Lecture	Bad	Asia	India
83	28	3	Engineering	Computer Enginnering	IOT	3,7	Lecture	Bad	Asia	India
84	28	2	Engineering	Computer Enginnering	Peer To Peer 	3,3	Lecture	Average	Asia	India
85	28	2	Engineering	Computer Enginnering	Web Technology	1,7	Lecture	Good	Asia	India
86	28	2	Engineering	Computer Enginnering	Intractive system 	3,7	Lecture	Good	Asia	India
